date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:35	70120/70120	---M--	200	added ('OK')	font/woff	etag:%22111e8-5a1c58456725d%22	https://box-bay.com/fonts/OpenSans-Bold.woff	D:/BoxBay/BoxBay/box-bay.com/fonts/OpenSans-Bold.woff	(from https://box-bay.com/css/styles.css)
18:25:36	51776/51776	---M--	200	added ('OK')	font/woff2	etag:%22ca40-5a1c58451af9d%22	https://box-bay.com/fonts/OpenSans-ExtraBold.woff2	D:/BoxBay/BoxBay/box-bay.com/fonts/OpenSans-ExtraBold.woff2	(from https://box-bay.com/css/styles.css)
18:25:36	69876/69876	---M--	200	added ('OK')	font/woff	etag:%22110f4-5a1c58451ee1d%22	https://box-bay.com/fonts/OpenSans-ExtraBold.woff	D:/BoxBay/BoxBay/box-bay.com/fonts/OpenSans-ExtraBold.woff	(from https://box-bay.com/css/styles.css)
18:25:36	258/258	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20May%202020%2021:25:35%20GMT	https://box-bay.com/css/images/layers.png	D:/BoxBay/BoxBay/box-bay.com/css/images/layers.png	(from https://box-bay.com/css/styles.css)
18:25:36	121768/121768	---M--	200	added ('OK')	font/ttf	etag:%221dba8-5a1c58454209d%22	https://box-bay.com/fonts/OpenSans-Bold.ttf	D:/BoxBay/BoxBay/box-bay.com/fonts/OpenSans-Bold.ttf	(from https://box-bay.com/css/styles.css)
18:25:36	258/258	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20May%202020%2021:25:35%20GMT	https://box-bay.com/css/images/layers-2x.png	D:/BoxBay/BoxBay/box-bay.com/css/images/layers-2x.png	(from https://box-bay.com/css/styles.css)
18:25:37	119804/119804	---M--	200	added ('OK')	font/ttf	etag:%221d3fc-5a1c58453269d%22	https://box-bay.com/fonts/OpenSans-ExtraBold.ttf	D:/BoxBay/BoxBay/box-bay.com/fonts/OpenSans-ExtraBold.ttf	(from https://box-bay.com/css/styles.css)
18:25:37	258/258	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20May%202020%2021:25:35%20GMT	https://box-bay.com/css/images/marker-icon.png	D:/BoxBay/BoxBay/box-bay.com/css/images/marker-icon.png	(from https://box-bay.com/css/styles.css)
18:25:37	1946/1946	---M--	200	added ('OK')	image/svg+xml	etag:%2279a-5a1c58491299c%22	https://box-bay.com/svg/slider-control.svg	D:/BoxBay/BoxBay/box-bay.com/svg/slider-control.svg	(from https://box-bay.com/css/styles.css)
18:25:37	1318/1318	---M--	200	added ('OK')	image/svg+xml	etag:%22526-5a1c584a5cadb%22	https://box-bay.com/svg/info-sign.svg	D:/BoxBay/BoxBay/box-bay.com/svg/info-sign.svg	(from https://box-bay.com/css/styles.css)
18:25:38	474/474	---M--	200	added ('OK')	image/svg+xml	etag:%221da-5a1c5847dc0dc%22	https://box-bay.com/svg/menu-open.svg	D:/BoxBay/BoxBay/box-bay.com/svg/menu-open.svg	(from https://box-bay.com/css/styles.css)
